"","Cust_ID","Dwelling","LengthRes","HomeCode","HomeValue","IncCode","AgeCode","Child0_2","Child3_5","Child6_11","Child12_16","Child17_18","FirstChannel","Email","OccupCd","Travel","CurrAff","CurrEv","Wines","FineArts","Exercise","SelfHelp","Collect","Needle","Sewing","DogOwner","CarOwner","Cooking","Pets","Fashion","Camping","Hunting","Boating"
"773",31686163,1,20,2,0,6,6,2,2,2,2,2,1,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"783",31698037,1,20,2,156000,9,5,2,2,2,2,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0
"785",31701674,1,20,2,144000,7,5,2,2,2,2,3,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"791",31712264,1,20,2,0,9,5,2,2,2,2,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"793",31716542,2,20,2,0,1,7,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"799",31724160,1,14,2,189000,6,6,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"802",31728089,1,16,2,172000,1,7,2,3,2,2,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"805",31728757,1,8,2,157000,6,6,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"810",31734022,1,6,2,0,5,4,2,2,2,2,2,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"819",31746139,1,14,2,0,9,4,2,2,2,2,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"824",31749632,1,20,2,146000,6,4,2,2,3,3,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"826",31752680,1,20,2,290000,5,7,2,2,2,2,2,3,0,14,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"835",31768168,1,20,2,147000,7,6,2,2,2,2,2,3,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0
"846",31795255,1,20,2,0,6,5,2,2,2,2,2,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"850",31803212,1,20,2,140000,9,5,2,2,2,2,2,3,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"859",31816000,1,20,2,0,6,5,2,2,2,2,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"870",31836336,1,11,1,0,6,3,2,2,2,2,2,2,0,5,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0
"872",31839138,1,13,2,0,7,3,2,2,3,3,2,1,0,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"874",31840226,1,20,2,0,6,6,2,2,2,2,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"884",31844533,1,11,2,0,9,4,2,2,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"885",31845071,1,15,2,0,9,4,2,2,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"887",31845664,1,16,2,0,3,6,2,2,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"889",31846406,1,15,2,0,7,7,2,2,2,2,2,1,1,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"890",31847366,2,2,2,0,6,6,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"896",31855666,1,20,2,0,7,5,2,2,2,2,2,2,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"906",31868176,1,20,2,0,8,7,2,2,2,2,2,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"910",31872554,1,20,2,0,6,6,2,2,3,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"913",31874129,1,17,2,0,9,4,2,2,2,2,2,2,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0
"915",31874321,1,12,2,0,9,4,2,2,2,3,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935",31898092,2,9,2,0,4,5,2,2,2,2,2,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
"939",31899132,1,17,2,0,4,7,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"945",31909257,1,20,2,0,6,4,2,2,2,2,2,3,0,8,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0
"947",31910839,1,3,2,0,6,3,2,2,2,2,2,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"953",31920054,1,12,2,0,9,6,2,2,3,2,2,1,0,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
"959",31925492,4,8,2,0,8,5,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960",31925523,1,20,2,0,7,6,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"979",31946807,1,18,2,0,6,7,2,2,2,2,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"990",31966779,1,15,2,189000,9,4,2,2,2,2,2,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"991",31968560,1,7,2,0,9,5,2,2,2,2,2,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0
"993",31979421,2,11,2,0,6,5,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"998",31986537,1,9,2,192000,9,5,2,2,2,2,2,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0
"1003",31995125,1,5,2,0,9,4,2,2,2,2,3,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,0
