"","Cust_ID","Dwelling","LengthRes","HomeCode","HomeValue","IncCode","AgeCode","Child0_2","Child3_5","Child6_11","Child12_16","Child17_18","FirstChannel","Email","OccupCd","Travel","CurrAff","CurrEv","Wines","FineArts","Exercise","SelfHelp","Collect","Needle","Sewing","DogOwner","CarOwner","Cooking","Pets","Fashion","Camping","Hunting","Boating","Segment"
"120",31712264,1,20,2,0,9,5,2,2,2,2,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"121",31716542,2,20,2,0,1,7,2,2,2,2,2,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"3"
"122",31724160,1,14,2,189000,6,6,2,2,2,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"123",31728089,1,16,2,172000,1,7,2,3,2,2,2,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2"
"124",31728757,1,8,2,157000,6,6,2,2,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"125",31734022,1,6,2,0,5,4,2,2,2,2,2,3,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,"1"
"126",31746139,1,14,2,0,9,4,2,2,2,2,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"127",31749632,1,20,2,146000,6,4,2,2,3,3,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,"1"
"128",31752680,1,20,2,290000,5,7,2,2,2,2,2,3,0,14,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"1"
"129",31768168,1,20,2,147000,7,6,2,2,2,2,2,3,0,1,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"1"
"130",31795255,1,20,2,0,6,5,2,2,2,2,2,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"131",31803212,1,20,2,140000,9,5,2,2,2,2,2,3,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"3"
"132",31816000,1,20,2,0,6,5,2,2,2,2,3,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"3"
"133",31836336,1,11,1,0,6,3,2,2,2,2,2,2,0,5,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,"1"
"134",31839138,1,13,2,0,7,3,2,2,3,3,2,1,0,6,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"3"
"135",31840226,1,20,2,0,6,6,2,2,2,2,2,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3"
